codigo_variable,descripcion,modulo_origen,estatus,criterio,razon_detallada
DIRECTORIO,DIRECTORIO,Llave compartida (D + G + I),INCLUIDA,llave_identificadora_o_peso_poblacional,Necesaria para hacer merge entre los tres módulos a nivel persona. FEX_C es además el factor de expansión para estimaciones poblacionales.
SECUENCIA_ENCUESTA,Número de la persona dentro del hogar,Llave compartida (D + G + I),INCLUIDA,llave_identificadora_o_peso_poblacional,Necesaria para hacer merge entre los tres módulos a nivel persona. FEX_C es además el factor de expansión para estimaciones poblacionales.
SECUENCIA_P,Número del Hogar dentro de la vivienda,Llave compartida (D + G + I),INCLUIDA,llave_identificadora_o_peso_poblacional,Necesaria para hacer merge entre los tres módulos a nivel persona. FEX_C es además el factor de expansión para estimaciones poblacionales.
ORDEN,Número de la persona dentro del hogar,Llave compartida (D + G + I),INCLUIDA,llave_identificadora_o_peso_poblacional,Necesaria para hacer merge entre los tres módulos a nivel persona. FEX_C es además el factor de expansión para estimaciones poblacionales.
FEX_C,Factor de expansión,Llave compartida (D + G + I),INCLUIDA,llave_identificadora_o_peso_poblacional,Necesaria para hacer merge entre los tres módulos a nivel persona. FEX_C es además el factor de expansión para estimaciones poblacionales.
P6016,Número de orden de la persona que proporciona la información:,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Número de orden del informante del hogar. Metadato administrativo del cuestionario.
P1894,1. Tipo de documento de identidad,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Tipo de documento de identidad. Metadato administrativo, no relevante para brecha digital."
P6020,2. Sexo al nacer:,D - Características y composición del hogar,INCLUIDA,insumo_directo_de_feature,"Variable cruda usada como insumo directo del pipeline → sexo, hh_sexo (recodificación de hombre/mujer)."
P6034,3. ¿Cuál es la fecha de nacimiento de ...?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Fecha de nacimiento. Redundante con P6040 (edad en años ya capturada).
P6040,4. ¿Cuántos años cumplidos tiene ...?,D - Características y composición del hogar,INCLUIDA,insumo_directo_de_feature,"Variable cruda usada como insumo directo del pipeline → hh_edad y grupo_etario, hh_grupo_etario (edad y bins demográficos)."
P6051,5. ¿Cuál es el parentesco de ... con el jefe o la jefa de este hogar?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Parentesco con el jefe del hogar. No usada en el diseño actual.
P5502,6. Actualmente ...:,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Estado civil. Posible covariable demográfica, no incluida en el diseño actual."
P6071,7. El (la) cónyuge de ... ¿Vive en este hogar?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,¿El cónyuge vive en este hogar? Pregunta filtro no usada.
P6071S1,No. de orden,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Número de orden del cónyuge si vive en el hogar. No usada.
P756,8. ¿Dónde nació ________?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Lugar de nacimiento (pregunta padre con sub-variables). Fuera del scope.
P756S1,Departamento,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Departamento de nacimiento. Fuera del scope.
P756S2,Municipio,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Municipio de nacimiento. Fuera del scope.
P756S3,En otro país,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,País de nacimiento (si extranjero). Fuera del scope.
P3510,8A. ¿Qué nacionalidad tiene?,D - Características y composición del hogar,EXCLUIDA,paraguas_de_nacionalidad,"Cabecera de pregunta de nacionalidad. Información en las sub-paraguas P3510S1 y P3510S2, y a su vez en sus 22 banderas país. Tema fuera del scope de brecha digital."
P3510S1,País o países de nacionalidad (además de colombiana),D - Características y composición del hogar,EXCLUIDA,sub_paraguas_anidada_nacionalidad,"100% NaN. Es una sub-paraguas: rama de la pregunta P3510 (nacionalidad). Sus hijas no siguen el patrón S<n> sino S{1,2}A<n> (banderas país individuales)."
P3510S1A1,1. Estadounidense,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A2,2. Española,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A3,3. Venezolana,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A4,4. Ecuatoriana,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A5,5. Panameña,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A6,6. Peruana,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A7,7. Costarricense,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A8,8. Argentina,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A9,9. Francesa,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A10,10. Italiana,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S1A11,11. Otra,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2,País o países de nacionalidad (sin colombiana),D - Características y composición del hogar,EXCLUIDA,sub_paraguas_anidada_nacionalidad,"100% NaN. Es una sub-paraguas: rama de la pregunta P3510 (nacionalidad). Sus hijas no siguen el patrón S<n> sino S{1,2}A<n> (banderas país individuales)."
P3510S2A1,1. Estados Unidos,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A2,2. España,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A3,3. Venezuela,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A4,4. Ecuador,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A5,5. Panamá,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A6,6. Perú,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A7,7. Costa Rica,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A8,8. Argentina,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A9,9. Francia,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A10,10. Italia,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P3510S2A11,11. Otro país,D - Características y composición del hogar,EXCLUIDA,bandera_pais_de_nacionalidad_n_menor_50,"Indicador binario de nacionalidad específica (estadounidense, española, etc.). Cada bandera tiene n < 50 personas en la muestra. Irrelevante para análisis de brecha digital en Colombia."
P6074,9. ¿... siempre ha vivido aquí en este municipio?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,¿Siempre ha vivido en este municipio? Variable de migración no usada.
P755,"10. ¿Dónde vivía ..., hace 5 años?",D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Lugar de residencia hace 5 años. Variable de migración (paraguas geográfico) no usada.
P755S1,Departamento,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Departamento de residencia hace 5 años. Migración, fuera del scope."
P755S2,Municipio,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Municipio de residencia hace 5 años. Migración, fuera del scope."
P755S3,En otro país,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"País de residencia hace 5 años. Migración, fuera del scope."
P754,11. El lugar donde vivía ... hace 5 años era:,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Zona urbano/rural hace 5 años. No se usa como zona principal (zona_establecimiento es la oficial del diseño).
P753,"12. ¿Dónde vivía ..., hace 12 meses?",D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Lugar de residencia hace 12 meses. Variable de migración no usada.
P753S1,Departamento,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Departamento hace 12 meses. Migración, fuera del scope."
